dollar_per_day,early_marriages,gdp,gdp_per_capital,land_area,literacy_rate,population,population_density,unemployment_rate
52.9,20.3,9.3,"3,150","21,787.0",70.4,"3,866,269",177.46,30.6
55.1,13.9,5.2,"1,214","72,609.0",70.9,"5,860,183",80.71,31.4
67.2,14.8,6.9,"1,592","30,800.0",67.6,"5,741,815",186.42,20.1
47.0,20.7,4.3,"2,484","9,059.0",74.9,"2,277,961",251.46,32.6
73.1,22.5,4.7,983,"49,119.0",39.8,"6,537,314",133.09,23.5
57.4,21.7,11.8,"1,615","4,865.0",82.1,"5,527,809","1,136.24",17.5
53.8,15.6,11.2,"2,779","6,900.0",89.5,"5,482,177",794.52,37.7
74.3,16.2,4.6,"1,417","38,700.0",57.7,"4,248,436",109.78,20.8
71.3,10.3,5.0,"3,285","7,607.0",67.0,"3,564,126",468.53,24.4
74.7,21.0,21.1,"3,965","10,575.0",80.3,"7,303,924",690.68,36.4
51.8,11.4,5.2,"1,587","27,147.0",55.1,"4,200,442",154.73,29.8
38.1,11.8,16.1,"2,666","26,500.0",75.6,"7,840,864",295.88,10.3
46.1,10.5,7.3,"2,076","9,026.0",82.5,"4,705,589",521.34,10.1
62.5,15.2,8.4,"2,392","15,820.0",79.0,"4,671,695",295.30,14.2
33.9,11.6,10.5,"2,740","16,400.0",78.8,"5,217,716",318.15,16.4
No data,No data,No data,No data,No data,No data,No data,No data,No data
74.1,13.9,4.1,"1,237","37,931.0",54.7,"4,515,427",119.04,18.0
68.9,16.1,2.0,843,"46,609.0",58.3,"3,294,137",70.68,29.0
81.9,8.3,3.4,"1,446","56,282.0",52.2,"3,066,834",54.49,19.0
50.6,19.5,4.8,"1,274","27,825.0",73.4,"4,998,090",179.63,26.0
49.3,9.5,3.0,"1,588","28,735.0",52.9,"2,523,395",87.82,27.4
62.0,17.6,91.0,"4,333","3,671.0",94.1,"12,550,598","3,418.85",14.6
67.3,12.0,3.8,"1,585","35,705.0",48.1,"3,192,893",89.42,21.1
72.5,15.7,4.6,"1,386","27,747.0",62.8,"4,473,490",161.22,19.7
74.8,23.9,3.3,993,"36,985.0",49.2,"4,440,050",120.05,20.1
66.0,22.0,6.0,"1,017","23,561.0",38.0,"7,831,319",332.38,14.3
61.8,27.1,12.4,"1,288","20,280.0",37.4,"13,076,892",644.82,31.3
74.2,13.1,10.3,"1,666","42,481.0",58.1,"8,252,366",194.26,26.8
50.7,20.9,3.0,673,"23,287.0",53.6,"5,828,163",250.28,26.5
74.2,20.8,14.2,"3,527","5,288.0",74.3,"5,408,756","1,022.84",28.2
55.6,24.0,2.5,"1,036","17,100.0",54.0,"3,256,962",190.47,27.0
63.4,22.0,No data,No data,"7,534.0",73.2,"4,411,119",585.49,18.7
52.6,12.9,2.9,"1,169","5,435.0",79.5,"3,270,798",601.80,20.2
66.0,13.7,11.9,"3,623","19,187.0",71.8,"4,235,595",220.75,25.1
73.6,21.8,2.7,"1,232","6,400.0",62.5,"2,880,383",450.06,21.1
63.6,19.1,16.8,"3,990","17,108.0",79.3,"5,663,362",331.04,25.4
